Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,26914,-89.08208,98,,,,,,
,,,,,27000,,,19.228591918945312,-3.6258742809295654,-3.4106006622314453,38.96061325073242,0.838,0.001
,,,,,27023,-98.04001,109,,,,,,
,,,,,27101,-42.263992,78,,,,,,
,,,,,27242,-85.87518,141,,,,,,
,,,,,27387,-126.87259,145,,,,,,
,,,,,27474,-123.00226,87,,,,,,
,,,,,27559,-139.63855,85,,,,,,
,,,,,27631,-50.682316,72,,,,,,
,,,,,27754,-77.24356,123,,,,,,
,,,,,27831,-29.706161,77,,,,,,
,,,,,27948,-134.14899,117,,,,,,
,,,,,28000,,,45.973358154296875,16.591625213623047,16.18793487548828,76.78832244873047,0.832,0.001
,,,,,28069,-75.31142,121,,,,,,
,,,,,28168,-89.70831,99,,,,,,
,,,,,28279,-69.95839,111,,,,,,
,,,,,28415,-104.0685,136,,,,,,
,,,,,28507,-56.991646,92,,,,,,
,,,,,28609,-62.539455,102,,,,,,
,,,,,28707,-77.89483,98,,,,,,
,,,,,28842,-342.4265,135,,,,,,
,,,,,28918,-42.056847,76,,,,,,
,,,,,29000,,,4.3054704666137695,13.808055877685547,13.943172454833984,34.92364501953125,0.8260000000000001,0.001
,,,,,29021,-94.890495,103,,,,,,
,,,,,29108,-126.612274,87,,,,,,
,,,,,29214,-94.9735,106,,,,,,
,,,,,29313,-67.992485,99,,,,,,
,,,,,29405,-154.70325,92,,,,,,
,,,,,29493,-87.514824,88,,,,,,
,,,,,29629,-170.31186,136,,,,,,
,,,,,29718,-78.823204,89,,,,,,
,,,,,29833,-134.66913,115,,,,,,
,,,,,29925,-129.71492,92,,,,,,
,,,,,29998,-63.77903,73,,,,,,
-206.52176,55.6693,-102.87988,-288.8963,638.3,30000,,,7.322247505187988,3.008394241333008,3.45072078704834,81.38995361328125,0.82,0.001
,,,,,30093,-85.96895,95,,,,,,
,,,,,30225,-220.22623,132,,,,,,
,,,,,30309,-134.0574,84,,,,,,
,,,,,30402,-81.079,93,,,,,,
,,,,,30505,-13.793228,103,,,,,,
,,,,,30608,-71.03987,103,,,,,,
,,,,,30688,-38.027905,80,,,,,,
,,,,,30821,-72.0627,133,,,,,,
,,,,,30939,-66.25174,118,,,,,,
,,,,,31000,,,8.289840698242188,23.61078643798828,24.03604507446289,67.26868438720703,0.8140000000000001,0.001
,,,,,31081,-124.68476,142,,,,,,
,,,,,31151,-77.08165,70,,,,,,
,,,,,31233,-85.81021,82,,,,,,
,,,,,31334,-93.00436,101,,,,,,
,,,,,31413,-160.85938,79,,,,,,
,,,,,31492,-31.87304,79,,,,,,
,,,,,31601,-126.529724,109,,,,,,
,,,,,31703,-112.43317,102,,,,,,
,,,,,31785,-105.90994,82,,,,,,
,,,,,31872,-116.439064,87,,,,,,
,,,,,31953,-49.460564,81,,,,,,
,,,,,32000,,,24.87531280517578,3.1571593284606934,3.073718309402466,112.35327911376953,0.808,0.001
,,,,,32051,-141.39484,98,,,,,,
,,,,,32138,-70.423004,87,,,,,,
,,,,,32253,-75.507095,115,,,,,,
,,,,,32366,-109.90375,113,,,,,,
,,,,,32437,-42.927452,71,,,,,,
,,,,,32542,-149.59875,105,,,,,,
,,,,,32628,-175.54222,86,,,,,,
,,,,,32696,-57.15303,68,,,,,,
,,,,,32782,-136.74338,86,,,,,,
,,,,,32886,-47.782463,104,,,,,,
,,,,,33000,,,5.711101531982422,7.593287467956543,7.973846435546875,63.08548355102539,0.802,0.001
,,,,,33015,-52.101665,129,,,,,,
,,,,,33102,-79.809006,87,,,,,,
,,,,,33193,-68.58001,91,,,,,,
,,,,,33292,-88.79335,99,,,,,,
,,,,,33398,-80.36738,106,,,,,,
,,,,,33516,-92.42677,118,,,,,,
,,,,,33621,-34.05774,105,,,,,,
,,,,,33699,-122.45191,78,,,,,,
,,,,,33802,-82.664246,103,,,,,,
,,,,,33923,-114.38523,121,,,,,,
,,,,,34000,,,36.06127166748047,26.638931274414062,25.935516357421875,121.11998748779297,0.796,0.001
,,,,,34001,-81.85517,78,,,,,,
,,,,,34070,-90.43732,69,,,,,,
,,,,,34205,-52.17376,135,,,,,,
,,,,,34361,-80.96918,156,,,,,,
,,,,,34429,-73.78697,68,,,,,,
,,,,,34503,-108.85115,74,,,,,,
,,,,,34608,-87.96867,105,,,,,,
,,,,,34683,-76.06276,75,,,,,,
,,,,,34792,-60.803463,109,,,,,,
,,,,,34874,-86.85538,82,,,,,,
,,,,,35000,,,7.886343955993652,8.853050231933594,9.079424858093262,41.176597595214844,0.79,0.001
,,,,,35011,-96.86582,137,,,,,,
,,,,,35126,-129.05804,115,,,,,,
,,,,,35228,-56.96575,102,,,,,,
,,,,,35305,-39.398407,77,,,,,,
,,,,,35447,-62.71759,142,,,,,,
,,,,,35526,-94.84416,79,,,,,,
,,,,,35651,-118.837715,125,,,,,,
,,,,,35754,-114.82606,103,,,,,,
,,,,,35854,-102.258316,100,,,,,,
,,,,,35966,-73.21332,112,,,,,,
,,,,,36000,,,18.361148834228516,8.006412506103516,7.552211284637451,75.68440246582031,0.784,0.001
,,,,,36102,-121.09715,136,,,,,,
,,,,,36206,-117.612175,104,,,,,,
,,,,,36340,-215.09631,134,,,,,,
,,,,,36437,-113.23827,97,,,,,,
,,,,,36554,-123.77432,117,,,,,,
,,,,,36626,-66.94594,72,,,,,,
,,,,,36767,-100.74456,141,,,,,,
,,,,,36847,-109.148964,80,,,,,,
,,,,,36937,-125.31699,90,,,,,,
,,,,,37000,,,16.081220626831055,23.800718307495117,24.682022094726562,57.548492431640625,0.778,0.001
,,,,,37030,-78.9246,93,,,,,,
,,,,,37152,-69.294266,122,,,,,,
,,,,,37229,-75.00624,77,,,,,,
,,,,,37327,-86.86891,98,,,,,,
,,,,,37394,-74.33088,67,,,,,,
,,,,,37490,-46.50383,96,,,,,,
,,,,,37608,-116.78672,118,,,,,,
,,,,,37734,-138.10892,126,,,,,,
,,,,,37828,-78.692955,94,,,,,,
,,,,,37959,-47.75768,131,,,,,,
,,,,,38000,,,5.293968677520752,45.738128662109375,45.97914505004883,46.423030853271484,0.772,0.001
,,,,,38089,-92.64978,130,,,,,,
,,,,,38185,-142.2312,96,,,,,,
,,,,,38303,-104.07324,118,,,,,,
,,,,,38375,-106.48493,72,,,,,,
,,,,,38458,-130.68619,83,,,,,,
,,,,,38569,-46.051872,111,,,,,,
,,,,,38664,-68.91887,95,,,,,,
,,,,,38754,-120.05568,90,,,,,,
,,,,,38877,-122.32825,123,,,,,,
,,,,,39000,,,20.816909790039062,28.845651626586914,29.590824127197266,151.1114501953125,0.766,0.001
,,,,,39022,-103.77068,145,,,,,,
,,,,,39138,-85.822365,116,,,,,,
,,,,,39279,-43.03806,141,,,,,,
,,,,,39361,-166.63947,82,,,,,,
,,,,,39489,-83.55977,128,,,,,,
,,,,,39581,-83.55569,92,,,,,,
,,,,,39665,-89.19332,84,,,,,,
,,,,,39784,-88.417755,119,,,,,,
,,,,,39886,-87.22632,102,,,,,,
,,,,,39992,-85.485344,106,,,,,,
-207.23557,43.40205,-145.72406,-282.9807,417.7,40000,,,6.741023063659668,58.92687225341797,59.026954650878906,62.942710876464844,0.76,0.001
,,,,,40102,-147.92377,110,,,,,,
,,,,,40203,-114.78447,101,,,,,,
,,,,,40388,-208.09944,185,,,,,,
,,,,,40489,-110.00162,101,,,,,,
,,,,,40626,-68.95401,137,,,,,,
,,,,,40707,-47.492188,81,,,,,,
,,,,,40809,-58.498623,102,,,,,,
,,,,,40934,-49.911377,125,,,,,,
,,,,,41000,,,47.649497985839844,10.931562423706055,10.604779243469238,100.7944107055664,0.754,0.001
,,,,,41029,-90.18225,95,,,,,,
,,,,,41100,-66.71011,71,,,,,,
,,,,,41194,-70.99105,94,,,,,,
,,,,,41334,-196.90613,140,,,,,,
,,,,,41471,-211.03609,137,,,,,,
,,,,,41557,-70.56693,86,,,,,,
,,,,,41626,-27.413483,69,,,,,,
,,,,,41775,-114.16319,149,,,,,,
,,,,,41881,-105.60606,106,,,,,,
,,,,,41960,-69.62004,79,,,,,,
,,,,,42000,,,5.33451509475708,38.00837707519531,38.19783020019531,48.08864212036133,0.748,0.001
,,,,,42095,-88.16957,135,,,,,,
,,,,,42189,-86.817245,94,,,,,,
,,,,,42316,-31.59349,127,,,,,,
,,,,,42423,-103.83625,107,,,,,,
,,,,,42488,-45.303177,65,,,,,,
,,,,,42634,-206.94504,146,,,,,,
,,,,,42713,-63.4031,79,,,,,,
,,,,,42868,-69.958374,155,,,,,,
,,,,,42950,-108.98767,82,,,,,,
,,,,,43000,,,4.9102253913879395,50.46839904785156,50.93830490112305,44.481285095214844,0.742,0.001
,,,,,43033,-63.28264,83,,,,,,
,,,,,43144,-55.483856,111,,,,,,
,,,,,43240,-85.82476,96,,,,,,
,,,,,43336,-141.92113,96,,,,,,
,,,,,43455,-131.58075,119,,,,,,
,,,,,43532,-52.93068,77,,,,,,
,,,,,43626,-102.2638,94,,,,,,
