Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-229.46773,83.69581,-154.65283,-346.30774,1000.0,-243.56929,36.86178,-201.28523,-308.17645,1000.0,1.6008973121643066,16.59220314025879,255000,31.50526523590088,,50
-161.46112,47.23147,-97.5457,-210.22157,1000.0,-253.72095,95.189186,-181.69337,-439.69025,1000.0,-0.9771881103515625,30.85622215270996,260000,32.11392521858215,,51
-161.72194,43.62755,-107.66167,-214.50397,1000.0,-224.02231,59.500828,-175.34326,-341.26865,1000.0,2.8498916625976562,25.267831802368164,265000,32.722830295562744,,52
-162.07362,33.784195,-127.32089,-207.84442,1000.0,-190.29141,27.989851,-148.5752,-235.37245,1000.0,5.225543975830078,13.269636154174805,270000,33.33410620689392,,53
-120.76998,22.076319,-104.26346,-151.97311,1000.0,-150.91156,53.3945,-104.69896,-254.93729,1000.0,8.986523628234863,16.804977416992188,275000,33.9368851184845,,54
-241.61156,66.2575,-189.59207,-335.1162,1000.0,-152.7381,46.07229,-85.07405,-215.33093,1000.0,6.219939231872559,16.054847717285156,280000,34.54191732406616,,55
-140.17616,51.404034,-68.3867,-185.9839,1000.0,-164.21654,53.6076,-93.4706,-247.52351,1000.0,3.756147623062134,15.16103744506836,285000,35.149598360061646,,56
-135.5694,40.239395,-81.91649,-178.82257,1000.0,-115.511154,45.986687,-46.26971,-176.48256,1000.0,6.349907875061035,13.494690895080566,290000,35.76003313064575,,57
-103.478516,33.18665,-79.87479,-150.41125,1000.0,-107.55491,28.17971,-79.489845,-156.02286,1000.0,4.967679500579834,17.967267990112305,295000,36.371711015701294,,58
-94.44387,46.04217,-50.046074,-157.89139,1000.0,-158.488,61.475468,-104.237686,-267.88327,1000.0,-3.068290948867798,29.972152709960938,300000,36.979897260665894,,59
-97.04211,87.026955,-25.53454,-219.54575,1000.0,-122.58626,59.356785,-62.2995,-228.02188,1000.0,-1.0079456567764282,19.465072631835938,305000,37.593475103378296,,60
-161.97961,120.9897,7.939886,-264.35452,1000.0,-134.93886,165.51761,-45.840492,-465.83356,1000.0,-3.7965452671051025,57.6578254699707,310000,38.208463191986084,,61
-53.683422,21.254833,-28.99696,-80.878784,1000.0,-70.49939,27.91229,-42.86682,-121.990456,1000.0,1.0492298603057861,18.563627243041992,315000,38.825377225875854,,62
-12.814197,32.680157,25.10478,-54.656048,1000.0,-54.33722,26.71781,-13.346241,-96.7973,1000.0,3.0697600841522217,18.257762908935547,320000,39.430060148239136,,63
-29.940788,82.40946,66.510056,-134.82224,1000.0,-22.374353,16.650927,-6.357073,-52.045055,1000.0,6.201732158660889,18.065820693969727,325000,40.03782820701599,,64
3.2740605,48.153934,71.372986,-31.09862,1000.0,-62.41848,68.31483,18.44911,-184.6838,1000.0,0.2294830083847046,23.557512283325195,330000,40.644843101501465,,65
-8.065152,63.098396,65.264084,-88.76645,1000.0,28.269125,44.867428,86.42723,-42.233078,1000.0,9.395039558410645,22.689664840698242,335000,41.25004315376282,,66
43.45164,60.188213,99.46869,-40.059135,1000.0,-40.55256,106.91833,66.38405,-216.22849,1000.0,1.936525583267212,29.642642974853516,340000,41.851391077041626,,67
-65.66944,124.82198,43.98561,-240.29938,1000.0,-16.171078,72.68913,45.515724,-152.22133,1000.0,1.911923885345459,25.649887084960938,345000,42.46214318275452,,68
-58.24349,78.17207,42.82241,-147.57816,1000.0,-36.1317,84.01113,52.205524,-170.79268,1000.0,-1.248012661933899,22.785022735595703,350000,43.0690381526947,,69
50.115417,12.412821,60.60246,32.68036,1000.0,-79.14333,87.75561,37.8687,-184.51498,1000.0,-5.9533467292785645,30.5109806060791,355000,43.674368143081665,,70
33.986847,30.829208,77.233635,7.5731735,1000.0,13.687718,71.44873,93.53629,-85.9241,1000.0,1.1122251749038696,24.042057037353516,360000,44.284775257110596,,71
57.472363,32.91599,83.85207,11.066895,1000.0,-12.271533,94.224396,95.03347,-180.25406,1000.0,-2.717665195465088,31.615161895751953,365000,44.9036910533905,,72
128.21875,16.428902,150.58543,111.589134,1000.0,110.8995,56.96304,183.30617,28.604893,1000.0,8.03874683380127,18.94786834716797,370000,45.527788162231445,,73
7.785085,122.94622,98.57752,-166.02924,1000.0,87.51515,26.72717,129.60709,53.561775,1000.0,4.985971927642822,18.968477249145508,375000,46.13450336456299,,74
-128.17525,50.09557,-84.60265,-198.33945,1000.0,85.98598,59.01824,182.35251,1.3123627,1000.0,2.541182041168213,24.845661163330078,380000,46.743508100509644,,75
-113.598145,103.35489,-40.12561,-259.76334,1000.0,20.129604,53.90582,72.24828,-50.060158,1000.0,-6.416228294372559,18.362689971923828,385000,47.35225439071655,,76
-6.7581916,78.63012,78.11242,-111.417114,1000.0,-5.0210752,104.57758,167.46713,-134.21115,1000.0,-7.6550750732421875,37.62726593017578,390000,47.961692333221436,,77
165.54424,35.7554,216.08867,138.9996,1000.0,34.9209,100.87191,159.6398,-72.92363,1000.0,-4.141689300537109,28.69148063659668,395000,48.58460712432861,,78
-23.350317,157.5849,139.48344,-236.53737,1000.0,47.90321,50.310757,146.64441,10.557325,1000.0,-1.7607933282852173,26.6590633392334,400000,49.2249391078949,,79
151.2961,37.467728,201.41685,111.34686,1000.0,114.84385,41.908638,163.82706,54.39516,1000.0,3.68664813041687,20.9971866607666,405000,49.883594036102295,,80
91.3374,27.53878,130.06448,68.405075,1000.0,126.143555,39.408775,155.51147,52.381557,1000.0,2.1270499229431152,18.33194923400879,410000,50.51825213432312,,81
44.811504,118.77368,186.62077,-104.057106,1000.0,96.75218,40.030018,142.21661,32.26697,1000.0,-1.7884738445281982,19.50231170654297,415000,51.16713500022888,,82
222.73077,34.788044,267.4807,182.65286,1000.0,151.82307,24.072535,196.88925,129.64755,1000.0,3.15287184715271,15.879728317260742,420000,51.790579319000244,,83
140.14867,80.62616,220.76022,30.005936,1000.0,152.82169,73.74814,238.93765,19.690361,1000.0,8.462692260742188,20.172069549560547,425000,52.417776346206665,,84
211.4339,92.65082,321.09772,94.50009,1000.0,194.99217,64.167915,249.58432,73.24736,1000.0,6.867959499359131,23.15988540649414,430000,53.048365116119385,,85
196.81252,57.672806,266.476,125.245544,1000.0,203.07277,43.3337,281.5086,154.3554,1000.0,4.6857757568359375,13.549482345581055,435000,53.68131613731384,,86
153.10982,0.9015443,153.76205,151.83496,1000.0,192.72469,53.276054,269.2603,113.91185,1000.0,-0.26491451263427734,12.995516777038574,440000,54.32166934013367,,87
58.87564,139.75034,206.16144,-128.89616,1000.0,177.41943,29.29325,231.37325,151.15834,1000.0,-1.913636326789856,13.956282615661621,445000,54.95252513885498,,88
111.5,53.916096,181.07895,49.701355,1000.0,139.92369,114.78791,247.05917,-82.96024,1000.0,-6.213043689727783,20.980953216552734,450000,55.59005117416382,,89
177.46721,36.31745,225.03683,136.91089,1000.0,86.05699,114.66044,205.54988,-130.71893,1000.0,-9.161783218383789,27.58116912841797,455000,56.224900245666504,,90
284.1581,17.226494,306.6028,264.7318,1000.0,149.60826,79.99987,257.0257,38.824722,1000.0,-2.5260515213012695,24.18099021911621,460000,56.85680842399597,,91
276.24628,46.775158,325.72424,213.48334,1000.0,288.37427,47.613583,365.09482,214.8786,1000.0,8.287851333618164,21.84087371826172,465000,57.49615836143494,,92
283.66376,137.78418,429.719,98.93288,1000.0,278.56552,71.098,385.44653,166.39574,1000.0,6.1927080154418945,20.59632682800293,470000,58.13390803337097,,93
367.5634,30.2154,410.1397,343.12885,1000.0,323.77997,55.94109,385.98203,219.79971,1000.0,7.954273223876953,22.08081817626953,475000,58.743224143981934,,94
332.49033,55.31363,389.71985,257.69135,1000.0,299.79068,65.00302,403.65723,214.85443,1000.0,4.061927318572998,20.909591674804688,480000,59.37571620941162,,95
348.63107,22.565245,376.07257,320.80328,1000.0,374.5732,56.11073,413.03506,263.91248,1000.0,6.307834148406982,19.07574462890625,485000,59.999781131744385,,96
344.0559,44.106922,406.36426,310.37543,1000.0,373.17413,73.39995,447.5042,247.10777,1000.0,4.269179344177246,18.633892059326172,490000,60.60983920097351,,97
251.25513,116.789894,335.88434,86.10631,1000.0,343.057,20.111324,371.36047,310.06622,1000.0,0.01346730999648571,19.3532772064209,495000,61.22194027900696,,98
282.20206,35.177284,331.30563,250.73718,1000.0,300.55072,47.400833,378.8179,237.94955,1000.0,-6.343361854553223,18.180150985717773,500000,61.83850431442261,,99
