Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
45.739132,15.740332,86.0,15.0,45.73913043478261,49.811882,18.885122,132.0,15.0,49.81188118811881,80.21519470214844,80389,8.966326713562012,,15
51.45,18.701538,85.0,14.0,51.45,49.284313,15.673993,97.0,12.0,49.28431372549019,75.6705093383789,85416,9.487303972244263,,16
44.304348,17.884739,86.0,8.0,44.30434782608695,47.16981,17.888792,103.0,10.0,47.16981132075472,74.81562805175781,90416,10.001958847045898,,17
44.826088,12.592793,71.0,18.0,44.82608695652174,45.563637,15.260482,103.0,10.0,45.56363636363636,70.0854721069336,95428,10.535400867462158,,18
47.590908,17.132263,91.0,17.0,47.59090909090909,47.64151,17.691906,111.0,11.0,47.64150943396226,76.03524780273438,100478,11.069021940231323,,19
51.9,19.240324,91.0,12.0,51.9,49.088234,16.35579,103.0,11.0,49.088235294117645,76.219482421875,105485,11.596920728683472,,20
48.0,18.756586,88.0,18.0,48.0,50.60606,18.73948,111.0,10.0,50.60606060606061,80.14816284179688,110495,12.103433847427368,,21
54.35,25.39936,110.0,13.0,54.35,53.61702,18.029,109.0,17.0,53.61702127659574,82.3160171508789,115535,12.618414878845215,,22
63.9375,29.79402,130.0,31.0,63.9375,54.70652,23.144413,109.0,10.0,54.70652173913044,89.27122497558594,120568,13.13201093673706,,23
75.14286,32.30625,132.0,19.0,75.14285714285714,59.892857,22.698341,125.0,15.0,59.892857142857146,94.78218841552734,125599,13.649041891098022,,24
74.14286,27.562546,124.0,20.0,74.14285714285714,68.47298,28.960468,188.0,19.0,68.47297297297297,112.2862777709961,130666,14.183557748794556,,25
85.5,29.139034,143.0,47.0,85.5,81.38095,38.914818,263.0,18.0,81.38095238095238,137.27540588378906,135793,14.733640909194946,,26
91.36364,28.114286,155.0,64.0,91.36363636363636,94.05556,38.017742,208.0,28.0,94.05555555555556,152.49671936035156,140872,15.26973271369934,,27
117.55556,32.991955,197.0,75.0,117.55555555555556,100.34,41.19156,202.0,40.0,100.34,162.09877014160156,145889,15.808060884475708,,28
100.72727,41.05006,169.0,28.0,100.72727272727273,99.60784,43.892952,226.0,38.0,99.6078431372549,164.86846923828125,150969,16.355384826660156,,29
75.21429,20.650764,115.0,45.0,75.21428571428571,86.51724,32.955162,224.0,40.0,86.51724137931035,137.4195098876953,155987,16.871566772460938,,30
93.0,38.052597,181.0,57.0,93.0,75.32836,24.09768,159.0,27.0,75.32835820895522,113.20779418945312,161034,17.380322694778442,,31
128.11111,35.028385,179.0,76.0,128.11111111111111,83.73333,33.417492,215.0,38.0,83.73333333333333,133.7574462890625,166058,17.899826765060425,,32
125.875,49.20731,232.0,57.0,125.875,118.139534,69.978264,425.0,20.0,118.13953488372093,220.30186462402344,171138,18.428605794906616,,33
79.76923,22.014519,114.0,36.0,79.76923076923077,117.60465,49.136326,274.0,46.0,117.6046511627907,191.0001983642578,176195,18.954770803451538,,34
68.46667,19.489714,101.0,12.0,68.46666666666667,81.69355,25.620426,167.0,14.0,81.69354838709677,123.68428802490234,181260,19.4724018573761,,35
69.26667,15.264192,104.0,48.0,69.26666666666667,72.81159,21.267977,122.0,10.0,72.81159420289855,108.5871353149414,186284,19.992511987686157,,36
85.5,22.35509,119.0,56.0,85.5,75.07462,17.686586,126.0,18.0,75.07462686567165,109.92569732666016,191314,20.508879899978638,,37
100.1,33.865765,161.0,56.0,100.1,81.983604,24.992779,149.0,17.0,81.98360655737704,124.18191528320312,196315,21.022048950195312,,38
113.2,82.543076,286.0,30.0,113.2,101.88,41.681957,229.0,23.0,101.88,163.13209533691406,201409,21.583505868911743,,39
101.63636,39.98698,180.0,30.0,101.63636363636364,112.577774,46.10784,237.0,28.0,112.57777777777778,179.8177490234375,206475,22.129318952560425,,40
101.6,61.249,207.0,19.0,101.6,108.510635,46.306507,232.0,22.0,108.51063829787235,174.93276977539062,211575,22.665413856506348,,41
